Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,Yes,Yes,17 years old,Male,1 time,1 time,Never,1,10 or more days,Sometimes,Most of the time,No,Yes,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
Yes,No,No,12 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Never,No,No,No,Yes,No
No,No,No,13 years old,Male,1 time,1 time,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
Yes,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,Yes,No,No
No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
Yes,Yes,Yes,13 years old,Female,0 times,0 times,Most of the time,1,0 days,Always,Always,Yes,No,No,Yes,No
Yes,No,Yes,13 years old,Female,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,Yes,No
No,Yes,Yes,13 years old,Male,0 times,1 time,Never,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,Yes,No
No,Yes,No,14 years old,Male,0 times,4 or 5 times,Never,3 or more,6 to 9 days,Most of the time,Rarely,No,Yes,No,Yes,No
Yes,No,Yes,13 years old,Female,1 time,0 times,Most of the time,2,0 days,Most of the time,Never,Yes,No,No,No,No
Yes,Yes,Yes,14 years old,Female,10 or 11 times,1 time,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,No
Yes,No,Yes,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,Yes,Yes,13 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,13 years old,Male,0 times,6 or 7 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
No,No,Yes,13 years old,Male,1 time,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,Yes,No,No
Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,1,0 days,Sometimes,Rarely,No,No,No,No,No
No,Yes,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Never,No,No,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Never,2,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Never,Never,No,Yes,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,Yes,No
No,No,No,15 years old,Female,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
Yes,No,No,14 years old,Male,1 time,0 times,Sometimes,0,0 days,Always,Sometimes,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Never,2,3 to 5 days,Never,Never,No,Yes,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,3 to 5 days,Rarely,Never,No,Yes,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
Yes,Yes,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
